day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
mon,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.29,0.3,0.44,0.595,0.48,0.45,0.51,0.525,0.47,0.595,0.64,0.76,0.805,0.71,0.0,0.0
tue,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.495,0.525,0.48,0.43,0.45,0.49,0.45,0.5,0.615,0.72,0.73,0.55,0.0,0.0
wed,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.27,0.335,0.515,0.58,0.435,0.42,0.415,0.51,0.5,0.525,0.67,0.69,0.78,0.71,0.0,0.0
thu,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.48,0.48,0.42,0.36,0.41,0.48,0.48,0.565,0.57,0.63,0.73,0.635,0.0,0.0
fri,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.215,0.3,0.47,0.58,0.505,0.43,0.45,0.49,0.47,0.49,0.47,0.46,0.585,0.445,0.0,0.0
sat,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.52,0.695,0.625,0.49,0.545,0.5,0.55,0.685,0.645,0.455,0.0,0.0,0.0,0.0
sun,pasir_ris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.52,0.54,0.555,0.475,0.475,0.675,0.74,0.695,0.755,0.57,0.0,0.0,0.0,0.0
mon,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.39,0.45,0.49,0.52,0.52,0.47,0.47,0.54,0.58,0.63,0.7,0.76,0.83,0.68,0.0,0.0
tue,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.48,0.47,0.495,0.445,0.47,0.5,0.54,0.6,0.68,0.79,0.83,0.68,0.0,0.0
wed,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.38,0.43,0.46,0.5,0.48,0.45,0.46,0.54,0.57,0.62,0.7,0.83,0.89,0.74,0.61,0.61
thu,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.44,0.45,0.44,0.42,0.48,0.49,0.51,0.58,0.63,0.7,0.81,0.68,0.0,0.0
fri,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.35,0.41,0.45,0.47,0.46,0.44,0.48,0.52,0.55,0.55,0.55,0.6,0.65,0.53,0.0,0.0
sat,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.61,0.68,0.62,0.56,0.57,0.63,0.67,0.69,0.69,0.54,0.0,0.0,0.0,0.0
sun,cck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.63,0.7,0.69,0.64,0.63,0.68,0.72,0.73,0.72,0.55,0.0,0.0,0.0,0.0
